date,close_usd
2013-01-01,13.331371422
2013-01-02,13.280606813
2013-01-03,13.3840811485
2013-01-04,13.4517211496
2013-01-05,13.4594067668
2013-01-06,13.5044965079
2013-01-07,13.5560616578
2013-01-08,13.7803506312
2013-01-09,13.8209552566
2013-01-10,14.1231728556
2013-01-11,14.2276211227
2013-01-12,14.214285656
2013-01-13,14.1607882671
2013-01-14,14.3179703203
2013-01-15,14.3136377516
2013-01-16,14.7078140479
2013-01-17,15.5985997396
2013-01-18,15.7157911239
2013-01-19,15.5881263998
2013-01-20,15.7195921373
2013-01-21,16.7810195207
2013-01-22,17.3001788387
2013-01-23,17.5363954229
2013-01-24,16.9010860722
2013-01-25,17.4072020292
2013-01-26,17.5536291761
2013-01-27,17.8646280148
2013-01-28,18.7942648743
2013-01-29,19.5147141861
2013-01-30,19.7374466864
2013-01-31,20.5116430307
2013-02-01,20.4430919562
2013-02-02,19.6359017054
2013-02-03,20.5789396832
2013-02-04,20.4404879614
2013-02-05,20.6593447276
2013-02-06,21.2085655319
2013-02-07,22.1177651789
2013-02-08,22.7873650499
2013-02-09,23.7338601537
2013-02-10,23.9002893571
2013-02-11,24.4972726949
2013-02-12,24.9797364074
2013-02-13,24.6416509348
2013-02-14,27.2823898203
2013-02-15,27.1712692291
2013-02-16,27.346163562
2013-02-17,26.9272513764
2013-02-18,26.9288676371
2013-02-19,29.4136243808
2013-02-20,29.8198072276
2013-02-21,29.8180689158
2013-02-22,30.4726565324
2013-02-23,29.8064545459
2013-02-24,29.8828484924
2013-02-25,30.352033095
2013-02-26,31.1555373507
2013-02-27,31.240261083
2013-02-28,33.3752939366
2013-03-01,34.6062570341
2013-03-02,34.143515924
2013-03-03,34.4517404845
2013-03-04,36.3762652507
2013-03-05,40.6729539903
2013-03-06,43.2849961852
2013-03-07,41.9474407158
2013-03-08,43.902928915
2013-03-09,46.8885866123
2013-03-10,46.066038459
2013-03-11,48.2750745772
2013-03-12,44.4135452582
2013-03-13,47.0161908516
2013-03-14,46.9255625535
2013-03-15,46.9025172478
2013-03-16,47.1570156996
2013-03-17,47.3334997838
2013-03-18,51.3654363913
2013-03-19,59.4986011114
2013-03-20,63.6874854982
2013-03-21,70.9175250053
2013-03-22,69.8460845418
2013-03-23,64.3831163705
2013-03-24,71.6904242065
2013-03-25,74.3140892496
2013-03-26,78.614197432
2013-03-27,88.8520799138
2013-03-28,87.6731739608
2013-03-29,90.2956993583
2013-03-30,92.1899599883
2013-03-31,93.8992384231
2013-04-01,103.580346911
2013-04-02,116.679944241
2013-04-03,131.384809378
2013-04-04,133.007120476
2013-04-05,142.626065488
2013-04-06,143.081822965
2013-04-07,162.852214577
2013-04-08,186.351161848
2013-04-09,230.682996695
2013-04-10,161.192889661
2013-04-11,82.901585038
2013-04-12,111.476373194
2013-04-13,97.6090718703
2013-04-14,88.8614913998
2013-04-15,80.874693166
2013-04-16,68.2831387271
2013-04-17,92.8640369135
2013-04-18,108.628345092
2013-04-19,119.012283239
2013-04-20,128.208288893
2013-04-21,118.483243756
2013-04-22,126.31427176
2013-04-23,142.127218053
2013-04-24,154.133277805
2013-04-25,141.008659278
2013-04-26,137.20960042
2013-04-27,128.226669605
2013-04-28,134.623569562
2013-04-29,143.810378193
2013-04-30,139.129647545
2013-05-01,116.11380104
2013-05-02,106.340984697
2013-05-03,96.3168402741
2013-05-04,112.497636369
2013-05-05,116.488715827
2013-05-06,112.118596195
2013-05-07,111.609212873
2013-05-08,113.136061855
2013-05-09,111.974532711
2013-05-10,117.691036884
2013-05-11,115.499777663
2013-05-12,114.88567556
2013-05-13,117.404456646
2013-05-14,107.865566569
2013-05-15,108.986852425
2013-05-16,112.91787405
2013-05-17,117.284616014
2013-05-18,118.16987668
2013-05-19,117.033880187
2013-05-20,117.81863647
2013-05-21,117.252040912
2013-05-22,118.978173583
2013-05-23,123.726156049
2013-05-24,128.971080655
2013-05-25,128.844915254
2013-05-26,130.15860111
2013-05-27,126.392905903
2013-05-28,125.904595266
2013-05-29,129.56481239
2013-05-30,126.513068381
2013-05-31,127.816488895
2013-06-01,128.791151081
2013-06-02,122.626708942
2013-06-03,122.949187902
2013-06-04,120.189968732
2013-06-05,120.869923846
2013-06-06,119.05397567
2013-06-07,110.197731444
2013-06-08,109.178545341
2013-06-09,99.9036034483
2013-06-10,104.357566628
2013-06-11,107.507520456
2013-06-12,106.378116306
2013-06-13,101.323897721
2013-06-14,99.2132443016
